training_size,unrealx_mae_1,unrelax_percentage_e_1,relax_mae_1,relax_percentage_e_1,unrealx_mae_2,unrelax_percentage_e_2,relax_mae_2,relax_percentage_e_2,unrealx_mae_3,unrelax_percentage_e_3,relax_mae_3,relax_percentage_e_3
400,5.479,2.62639,5.623,2.26763,4.728,2.26836,5.204,2.10028,4.947,2.37015,6.226,2.51308
450,3.803,1.82118,2.47,0.99867,5.907,2.82586,5.667,2.28937,5.491,2.6283,4.525,1.83497
500,3.24,1.55075,3.282,1.31807,3.401,1.6298,3.592,1.45193,2.81,1.34246,2.856,1.14663
550,2.597,1.23836,2.455,0.9906,4.636,2.22406,3.072,1.24158,2.999,1.43846,2.836,1.14275
600,3.75,1.79516,2.386,0.96261,2.616,1.24788,2.412,0.975,3.265,1.56102,3.079,1.24109
650,3.17,1.51553,3.155,1.27123,3.96,1.89718,2.11,0.85259,2.941,1.40735,2.492,1.004498
700,2.626,1.25727,2.948,1.18914,2.383,1.13979,2.472,0.99775,1.843,0.88203,1.209,0.48744
750,1.784,0.8545,1.3,0.52249,3.141,1.50267,3.064,1.23672,1.973,0.94583,1.713,0.69361
800,2.314,1.10671,1.441,0.58245,2.166,1.03715,1.683,0.67867,2.258,1.08115,2.38,0.96274
850,1.846,0.88382,1.244,0.50389,2.032,0.97753,1.901,0.7683,1.604,0.76915,0.955,0.38703
900,1.959,0.93626,2.498,1.0065,2.139,1.02616,1.487,0.60208,2.536,1.21769,1.522,0.61449
950,1.557,0.74543,1.208,0.48847,1.593,0.76119,1.918,0.77167,1.7,0.8154,1.395,0.56609
1000,1.886,0.90302,1.686,0.68024,1.777,0.84965,1.643,0.66536,1.916,0.91665,1.193,0.4819
1050,1.711,0.81707,1.111,0.44818,1.465,0.70031,1.096,0.4415,2.084,0.99896,1.206,0.48667
1100,1.994,0.95217,0.833,0.33589,1.44,0.6897,0.938,0.3794,1.97,0.93895,1.347,0.54316
1150,1.542,0.74022,1.809,0.72865,1.598,0.76592,1.32,0.5338,1.369,0.65691,1.167,0.47282
1200,2.06,0.98955,1.187,0.4794,1.683,0.80576,1.283,0.51842,1.452,0.6958,0.898,0.36144
1250,2.358,1.13358,0.999,0.40385,1.529,0.73204,1.282,0.51876,1.603,0.76619,1.014,0.40923
1300,1.576,0.75202,0.765,0.30936,1.922,0.92061,0.864,0.34889,1.647,0.78876,0.985,0.39853
1350,1.56,0.7457,1.678,0.67947,1.431,0.68484,1.353,0.5462,1.645,0.78682,1.041,0.41989
1400,1.495,0.71566,1.007,0.4064,1.55,0.74288,1.191,0.48168,2.021,0.96211,0.846,0.34202
1450,1.52,0.73074,1.409,0.56868,1.417,0.67762,1.512,0.60896,2.377,1.13563,0.686,0.27702
1500,1.46,0.69864,0.961,0.38838,1.67,0.79823,1.71,0.69236,1.621,0.77739,0.822,0.33326
